Dataset,Model,Train Avg Accuracy,Train Std,Train F1 Macro Avg,Train Precision Macro Avg,Train Recall Macro Avg,Train F1 Macro Std,Train Precision Macro Std,Train Recall Macro Std,Test Accuracy,Test F1 Macro,Test Precision Macro,Test Recall Macro
GenreAll,LogisticRegression,0.7620094936708861,0.04520076688986042,0.9214040375332827,0.9217634514198363,0.9219288329564186,0.005038843645427408,0.005131163126953421,0.0050416136799852325,0.7286432160804021,0.7293115638291158,0.7436903218825417,0.7304787369493251
GenreAll,k-NN,0.7317879746835443,0.04227867346749949,0.9989350637806126,0.998942105263158,0.9989421052631577,0.0005324792397326236,0.0005290019174107216,0.0005290019174107216,0.7336683417085427,0.7366202126403969,0.7492280328722789,0.7366039597657246
GenreAll,Decision Tree,0.5667088607594937,0.04871265758643385,0.9989350637806126,0.998942105263158,0.9989421052631577,0.0005324792397326236,0.0005290019174107216,0.0005290019174107216,0.5678391959798995,0.5746752052973919,0.5894275685058254,0.5724958619811561
GenreAll,Random Forest,0.7153955696202532,0.04540020205703296,0.9989350637806126,0.998942105263158,0.9989421052631577,0.0005324792397326236,0.0005290019174107216,0.0005290019174107216,0.7537688442211056,0.7551846247468367,0.7712134939837187,0.7618379169849758
GenreAll,MLP,0.6510601265822785,0.06849687199369768,0.7303269080736725,0.7325418786029012,0.7352235597211565,0.06932427401496867,0.06936584654952077,0.06569903729002272,0.7135678391959799,0.7125937089309182,0.7242546583850931,0.7197364400305577
feat30,LogisticRegression,0.71,0.03944933459514875,0.8931068522193886,0.8940145645947986,0.8930753312979753,0.006547114615594358,0.006598691154357311,0.006522219100810315,0.77,0.7473872817271194,0.7549782702104684,0.7478356184579095
feat30,k-NN,0.69125,0.05591567311586262,0.9989349224437246,0.9989297297297297,0.9989542036910457,0.0005325645925966481,0.0005351806332465037,0.0005229539952045807,0.745,0.7293619965426399,0.7401735698795782,0.7313113666519239
feat30,Decision Tree,0.4887499999999999,0.04237112814169573,0.9989349224437246,0.9989297297297297,0.9989542036910457,0.0005325645925966481,0.0005351806332465037,0.0005229539952045807,0.56,0.5339234167047981,0.5430081234222351,0.5297529608334561
feat30,Random Forest,0.67875,0.032137400330456097,0.9989348526748918,0.9989348579348579,0.9989489386857807,0.0005325986492562101,0.0005328760774275525,0.0005257313532875218,0.77,0.7475329431572405,0.7583934996163257,0.7506636689763625
feat30,MLP,0.57625,0.08243368546898773,0.7134377338045951,0.7220878415286476,0.7206119759630709,0.06478376282730278,0.061045236012913576,0.06310076807224067,0.69,0.6685218158816719,0.6725500456827689,0.6712839451570101
feat3,LogisticRegression,0.7350131414267834,0.017936962234343067,0.760137724909607,0.7594739059276956,0.7614706493848583,0.005897007463849639,0.0059279487281688956,0.005798179226243501,0.6504757135703555,0.6533267468951472,0.6518267565476453,0.6607225148563576
feat3,k-NN,0.9159308510638298,0.009982152951933755,0.9988444079106575,0.9988326268285934,0.9988661344532266,0.000577796143061609,0.0005836867528356294,0.0005669715432504771,0.6194291437155733,0.621525734489674,0.6215430440763801,0.6293831277367377
feat3,Decision Tree,0.6800943366708385,0.020056834834365,0.998844489275428,0.9988321167883212,0.9988734375309523,0.0005777554387023477,0.0005839416058394331,0.0005632815393111004,0.5077616424636956,0.5114236226938019,0.5105408654689286,0.5222569732248752
feat3,Random Forest,0.877892365456821,0.00932493239677765,0.9988443009698958,0.9988356018331777,0.9988573113316562,0.0005778495956758086,0.0005822149249417524,0.0005713977120003276,0.6775162744116174,0.6763417660346976,0.6772404354693086,0.6862459009222358
feat3,MLP,0.8000716520650814,0.015256327810159185,0.8787688697348569,0.8793662066120618,0.8790635723486288,0.023386051338261438,0.023215791330988958,0.0233049094823475,0.6499749624436655,0.6491448848227271,0.6462380932272601,0.6595390841104385
